neighbourhood,latitude,longitude,room_type,price
North Hills,32.75301,-117.14232,Entire home/apt,190
Ocean Beach,32.75057,-117.25004,Entire home/apt,228
Mission Bay,32.78664,-117.239845,Entire home/apt,1272
Little Italy,32.72281,-117.1677,Entire home/apt,220
Mission Bay,32.77443,-117.25056,Entire home/apt,2475
Mission Bay,32.78412,-117.25174,Entire home/apt,485
Mission Bay,32.77305,-117.2504,Entire home/apt,411
Mission Bay,32.7748,-117.2525,Entire home/apt,583
Mission Bay,32.7748,-117.2524,Entire home/apt,718
Mission Bay,32.763119,-117.250954,Entire home/apt,278
Talmadge,32.76339,-117.09284,Entire home/apt,369
North Hills,32.73772,-117.13299,Entire home/apt,85
North Hills,32.73884,-117.1271,Entire home/apt,135
Pacific Beach,32.79674,-117.23085,Entire home/apt,581
Gaslamp Quarter,32.70904,-117.16071,Entire home/apt,135
Mission Bay,32.7676,-117.25137,Entire home/apt,276
East Village,32.70948,-117.15443,Entire home/apt,115
North Hills,32.74547,-117.13853,Entire home/apt,81
Old Town,32.75295,-117.17132,Entire home/apt,178
Mission Bay,32.76181,-117.24737,Entire home/apt,229
El Cerritos,32.7585,-117.06831,Entire home/apt,97
West University Heights,32.75524,-117.15737,Entire home/apt,314
Mission Bay,32.77631,-117.25298,Entire home/apt,908
Mission Bay,32.78574,-117.25231,Entire home/apt,650
Mission Bay,32.78574,-117.25231,Entire home/apt,600
Pacific Beach,32.80392,-117.25783,Entire home/apt,257
Ocean Beach,32.7447,-117.24796,Entire home/apt,128
Gaslamp Quarter,32.70942,-117.16031,Entire home/apt,99
Mission Bay,32.78574,-117.25231,Entire home/apt,540
Mission Bay,32.78573,-117.2526,Entire home/apt,585
Mission Bay,32.79063,-117.24229,Entire home/apt,707
Serra Mesa,32.79449,-117.12947,Entire home/apt,103
Mission Bay,32.78291,-117.25227,Entire home/apt,179
Loma Portal,32.75284,-117.22798,Entire home/apt,125
North Hills,32.75693,-117.12949,Entire home/apt,190
Rancho Bernadino,33.0215,-117.06887,Entire home/apt,181
Mission Bay,32.785456203363665,-117.2533230868603,Entire home/apt,275
Talmadge,32.76207,-117.09376,Entire home/apt,201
Old Town,32.751,-117.17552,Entire home/apt,166
Midtown,32.74264,-117.17747,Entire home/apt,150
Mission Bay,32.78432,-117.25132,Entire home/apt,307
Midtown,32.74824,-117.16465,Entire home/apt,132
Ocean Beach,32.74353,-117.2497,Entire home/apt,375
East Village,32.71014,-117.15819,Entire home/apt,179
Mission Bay,32.77305,-117.2504,Entire home/apt,662
Clairemont Mesa,32.82321,-117.17928,Entire home/apt,250
North Hills,32.74969,-117.12928,Entire home/apt,147
Midtown,32.73365,-117.1722,Entire home/apt,395
Mission Bay,32.7773,-117.2526,Entire home/apt,318
La Jolla,32.83900451660156,-117.27586364746094,Entire home/apt,336
La Jolla,32.83900451660156,-117.27586364746094,Entire home/apt,350
North Hills,32.75012,-117.13219,Entire home/apt,100
La Jolla,32.81923,-117.27313,Entire home/apt,1149
La Jolla,32.83409881591797,-117.27647399902344,Entire home/apt,440
Del Mar Heights,32.93634,-117.24355,Entire home/apt,170
Old Town,32.74905,-117.19281,Entire home/apt,272
North Hills,32.74348,-117.13309,Entire home/apt,118
North Hills,32.73545,-117.12164,Entire home/apt,603
Loma Portal,32.75129,-117.2294,Entire home/apt,103
Pacific Beach,32.8083,-117.25785,Entire home/apt,286
Grant Hill,32.71022,-117.14506,Entire home/apt,239
Loma Portal,32.73785,-117.23972,Entire home/apt,141
West University Heights,32.75466,-117.14939,Entire home/apt,225
West University Heights,32.75525,-117.15076,Entire home/apt,131
West University Heights,32.7552,-117.15151,Entire home/apt,118
Mission Bay,32.78291,-117.25227,Entire home/apt,243
Valencia Park,32.7081103,-117.0706049,Entire home/apt,129
Mission Bay,32.7882,-117.25431,Entire home/apt,677
Pacific Beach,32.79456,-117.24281,Entire home/apt,191
Pacific Beach,32.79585,-117.25596,Entire home/apt,313
Grant Hill,32.71249,-117.14254,Entire home/apt,110
La Jolla,32.83318,-117.28171,Entire home/apt,3000
Mission Bay,32.77359,-117.25267,Entire home/apt,217
Mission Bay,32.77247,-117.25164,Entire home/apt,460
Mission Bay,32.76416,-117.2515,Entire home/apt,135
Mission Bay,32.76416,-117.2515,Entire home/apt,113
Bay Park,32.78031,-117.20508,Entire home/apt,196
Midtown,32.74498,-117.15328,Entire home/apt,296
Ocean Beach,32.73864,-117.24686,Entire home/apt,117
Loma Portal,32.74646,-117.24525,Entire home/apt,259
East Village,32.72394,-117.15519,Entire home/apt,139
North Hills,32.74444,-117.14608,Entire home/apt,141
Pacific Beach,32.81126,-117.22671,Entire home/apt,325
North Hills,32.76476,-117.13555,Entire home/apt,79
Balboa Park,32.71568,-117.14438,Entire home/apt,196
Midtown,32.73902893066406,-117.16246032714844,Entire home/apt,546
Midtown,32.73903,-117.16246,Entire home/apt,279
Midtown,32.73902893066406,-117.16246032714844,Entire home/apt,241
Mission Bay,32.76745,-117.25136,Entire home/apt,340
Mission Bay,32.78078,-117.25209,Entire home/apt,247
Mission Bay,32.7867,-117.25256,Entire home/apt,1079
Midtown,32.73217,-117.16296,Entire home/apt,130
North Hills,32.73703,-117.11812,Entire home/apt,279
Linda Vista,32.7748,-117.16742,Entire home/apt,263
Mission Bay,32.7854,-117.25246,Entire home/apt,753
Midtown,32.73551,-117.17244,Entire home/apt,641
North Hills,32.73905,-117.12545,Entire home/apt,199
North Hills,32.74311,-117.12855,Entire home/apt,105
Carmel Valley,32.93905,-117.19643,Entire home/apt,3500
Old Town,32.74491,-117.18296,Entire home/apt,449
Grant Hill,32.71094,-117.14412,Entire home/apt,169
Little Italy,32.72113,-117.16661,Entire home/apt,160
Bay Ho,32.83642,-117.21779,Entire home/apt,98
Pacific Beach,32.8015,-117.23181,Entire home/apt,301
Old Town,32.74587,-117.18004,Entire home/apt,142
Kearny Mesa,32.82023,-117.15945,Entire home/apt,89
Memorial,32.70177,-117.1368,Entire home/apt,189
La Jolla,32.82593,-117.25332,Entire home/apt,2600
University City,32.85305,-117.19401,Entire home/apt,201
Ocean Beach,32.75277,-117.24103,Entire home/apt,123
Mission Bay,32.78307,-117.25172,Entire home/apt,395
Loma Portal,32.73969,-117.23992,Entire home/apt,87
West University Heights,32.75633,-117.14977,Entire home/apt,323
Rancho Bernadino,33.04407,-117.06061,Entire home/apt,1099
Ocean Beach,32.73441,-117.24075,Entire home/apt,199
East Village,32.71839,-117.15325,Entire home/apt,435
West University Heights,32.76281,-117.15794,Entire home/apt,368
North Hills,32.74428,-117.14548,Entire home/apt,105
Grant Hill,32.70778,-117.13837,Entire home/apt,219
Ocean Beach,32.73701,-117.25523,Entire home/apt,250
West University Heights,32.75768,-117.153,Entire home/apt,105
Ocean Beach,32.73656,-117.25442,Entire home/apt,300
Ocean Beach,32.73561,-117.25443,Entire home/apt,242
Ocean Beach,32.73517,-117.25461,Entire home/apt,300
Ocean Beach,32.73699,-117.25426,Entire home/apt,300
La Jolla,32.85269,-117.25676,Entire home/apt,505
University City,32.85713,-117.22632,Entire home/apt,295
Midtown,32.73952,-117.15954,Entire home/apt,285
Pacific Beach,32.79447,-117.25375,Entire home/apt,572
Ocean Beach,32.74752,-117.24781,Entire home/apt,299
La Jolla,32.85382080078125,-117.25577545166016,Entire home/apt,290
La Jolla,32.82824,-117.28047,Entire home/apt,480
Gaslamp Quarter,32.70861,-117.16021,Entire home/apt,143
Kearny Mesa,32.81907,-117.15863,Entire home/apt,87
Normal Heights,32.7614,-117.11293,Entire home/apt,137
North Hills,32.74144,-117.12295,Entire home/apt,138
Mission Bay,32.76155,-117.25192,Entire home/apt,471
North Hills,32.74527,-117.14634,Entire home/apt,500
Pacific Beach,32.79715,-117.25606,Entire home/apt,125
Mission Bay,32.79372,-117.23447,Entire home/apt,171
Mission Bay,32.77685,-117.25248,Entire home/apt,820
La Jolla,32.8299,-117.28017,Entire home/apt,500
North Hills,32.7511,-117.12744,Entire home/apt,125
La Jolla,32.82797,-117.28027,Entire home/apt,240
Loma Portal,32.74798,-117.21741,Entire home/apt,600
Pacific Beach,32.79593,-117.24536,Entire home/apt,633
East Village,32.71198,-117.15797,Entire home/apt,102
La Jolla,32.82789,-117.28009,Entire home/apt,750
Balboa Park,32.72465,-117.13312,Entire home/apt,199
Balboa Park,32.72756,-117.13074,Entire home/apt,220
Mission Bay,32.76168,-117.25166,Entire home/apt,369
Midtown,32.74248,-117.15177,Entire home/apt,115
Mission Bay,32.75979,-117.25062,Entire home/apt,436
Mission Bay,32.76036,-117.25059,Entire home/apt,368
Mission Bay,32.77777,-117.25279,Entire home/apt,316
Mission Bay,32.76204,-117.25186,Entire home/apt,275
Mission Bay,32.76181,-117.25207,Entire home/apt,432
Loma Portal,32.74999,-117.23333,Entire home/apt,96
Mission Bay,32.76224,-117.24974,Entire home/apt,231
Southwest,32.605,-117.09298,Entire home/apt,100
Mission Bay,32.76347,-117.25176,Entire home/apt,261
Mission Bay,32.763,-117.25142,Entire home/apt,237
Mission Bay,32.79325,-117.24239,Entire home/apt,218
Loma Portal,32.74919,-117.24132,Entire home/apt,207
Mission Bay,32.77804,-117.25176,Entire home/apt,664
University City,32.8535,-117.2035,Entire home/apt,99
North Hills,32.73818,-117.12917,Entire home/apt,248
Ocean Beach,32.7395,-117.2501,Entire home/apt,231
South Park,32.72327,-117.12778,Entire home/apt,414
Midtown,32.74295,-117.17659,Entire home/apt,126
West University Heights,32.7575,-117.13935,Entire home/apt,86
Gateway,32.72771,-117.10884,Entire home/apt,160
Ocean Beach,32.75177,-117.24917,Entire home/apt,139
Mission Bay,32.79272,-117.24168,Entire home/apt,199
Midtown,32.73691940307617,-117.16433715820312,Entire home/apt,445
Grant Hill,32.70813,-117.14112,Entire home/apt,123
Grant Hill,32.7108,-117.14393,Entire home/apt,105
Pacific Beach,32.80727,-117.24281,Entire home/apt,128
Bay Ho,32.81042,-117.21163,Entire home/apt,90
Mission Bay,32.76628,-117.25073,Entire home/apt,367
West University Heights,32.7547,-117.14981,Entire home/apt,665
Mission Bay,32.76568,-117.25175,Entire home/apt,175
La Jolla,32.84018,-117.28047,Entire home/apt,114
Mission Bay,32.77368,-117.25275,Entire home/apt,342
Ocean Beach,32.73862,-117.25354,Entire home/apt,382
Loma Portal,32.75197,-117.23254,Entire home/apt,165
Marina,32.7086,-117.16299,Entire home/apt,411
Normal Heights,32.76643,-117.12452,Entire home/apt,123
Memorial,32.70015,-117.13641,Entire home/apt,150
Gaslamp Quarter,32.70850372314453,-117.15968322753906,Entire home/apt,229
Loma Portal,32.74826,-117.24437,Entire home/apt,194
Mission Bay,32.780744,-117.252187,Entire home/apt,189
Pacific Beach,32.80477,-117.25122,Entire home/apt,215
South Park,32.728878021240234,-117.1260986328125,Entire home/apt,211
North Hills,32.75167,-117.14029,Entire home/apt,145
Grant Hill,32.71151,-117.1425,Entire home/apt,99
Normal Heights,32.75829,-117.12219,Entire home/apt,95
Pacific Beach,32.79615,-117.24751,Entire home/apt,314
La Jolla,32.82865,-117.27525,Entire home/apt,200
Mission Bay,32.76728,-117.25143,Entire home/apt,407
Midtown,32.74521,-117.15334,Entire home/apt,532
Ocean Beach,32.74843,-117.2461,Entire home/apt,201
Carmel Valley,32.92609,-117.23145,Entire home/apt,369
Mission Bay,32.76519,-117.25153,Entire home/apt,504
Balboa Park,32.72548,-117.1305,Entire home/apt,100
Ocean Beach,32.75243596227641,-117.24722604776996,Entire home/apt,225
West University Heights,32.7557,-117.14978,Entire home/apt,400
Bay Park,32.79686,-117.20592,Entire home/apt,448
Loma Portal,32.74088,-117.24461,Entire home/apt,821
Mission Bay,32.78181,-117.25365,Entire home/apt,287
Rancho Bernadino,33.00894,-117.0818,Entire home/apt,249
Bario Logan,32.69596099853516,-117.13761901855467,Entire home/apt,150
Ocean Beach,32.74883,-117.24734,Entire home/apt,205
Mission Bay,32.76058,-117.24769,Entire home/apt,175
Ocean Beach,32.73638,-117.25066,Entire home/apt,214
Old Town,32.7519,-117.16985,Entire home/apt,90
Clairemont Mesa,32.81442,-117.18729,Entire home/apt,899
North Hills,32.744,-117.12757,Entire home/apt,123
Pacific Beach,32.81117,-117.2285,Entire home/apt,178
La Jolla,32.8576,-117.25558,Entire home/apt,2091
La Jolla Village,32.86057,-117.23478,Entire home/apt,123
Pacific Beach,32.79649,-117.23533,Entire home/apt,117
Balboa Park,32.72921,-117.13022,Entire home/apt,199
Midtown,32.74615,-117.16775,Entire home/apt,500
Roseville,32.72983,-117.22706,Entire home/apt,129
Mission Bay,32.76057,-117.24741,Entire home/apt,1125
